YEAR,GENDER,RACE,AGE_GROUP,COUNTY,VIOLENT,PROPERTY,F_DRUGOFF,F_SEXOFF,F_ALLOTHER,F_TOTAL,M_TOTAL,S_TOTAL
1980,Male,Black,30 to 39,Kings County,5,3,2,0,1,11,56,0
1980,Male,Black,40 to 69,Kings County,5,3,0,0,0,8,52,0
1980,Male,Black,70 and over,Kings County,0,0,0,0,0,0,5,0
1980,Male,Hispanic,Under 18,Kings County,21,71,2,3,16,113,250,68
1980,Male,Hispanic,18 to 19,Kings County,15,21,1,2,7,46,208,0
1980,Male,Hispanic,20 to 29,Kings County,57,47,12,3,19,138,839,0
1980,Male,Hispanic,30 to 39,Kings County,9,13,6,0,5,33,257,0
1980,Male,Hispanic,40 to 69,Kings County,5,6,1,0,3,15,207,0
1980,Male,Hispanic,70 and over,Kings County,0,0,0,0,0,0,2,0
1980,Male,Other,Under 18,Kings County,1,1,0,0,0,2,4,0
1980,Male,Other,18 to 19,Kings County,0,0,0,0,2,2,4,0
1980,Male,Other,20 to 29,Kings County,3,0,0,0,1,4,16,0
1980,Male,Other,30 to 39,Kings County,0,0,0,0,0,0,8,0
1980,Male,Other,40 to 69,Kings County,0,0,0,0,0,0,16,0
1980,Male,White,Under 18,Kings County,7,98,8,3,8,124,298,43
1980,Male,White,18 to 19,Kings County,8,24,8,0,7,47,211,0
1980,Male,White,20 to 29,Kings County,30,63,17,7,19,136,657,0
1980,Male,White,30 to 39,Kings County,11,13,2,2,2,30,225,0
1980,Male,White,40 to 69,Kings County,10,10,1,1,5,27,239,0
1980,Male,White,70 and over,Kings County,1,1,0,0,0,2,9,0
1980,Female,Black,Under 18,Kings County,0,3,0,0,0,3,32,3
1980,Female,Black,18 to 19,Kings County,0,2,1,0,0,3,4,0
1980,Female,Black,20 to 29,Kings County,5,2,2,0,2,11,25,0
1980,Female,Black,30 to 39,Kings County,1,0,0,0,0,1,8,0
1980,Female,Black,40 to 69,Kings County,0,0,0,0,0,0,14,0
1980,Female,Black,70 and over,Kings County,0,0,0,0,0,0,1,0
1980,Female,Hispanic,Under 18,Kings County,6,10,0,0,1,17,69,48
1980,Female,Hispanic,18 to 19,Kings County,0,4,0,0,1,5,20,0
1980,Female,Hispanic,20 to 29,Kings County,4,9,0,0,4,17,80,0
1980,Female,Hispanic,30 to 39,Kings County,2,2,0,0,0,4,47,0
1980,Female,Hispanic,40 to 69,Kings County,1,0,0,0,0,1,24,0
1980,Female,Other,Under 18,Kings County,0,0,0,0,0,0,1,1
1980,Female,Other,18 to 19,Kings County,0,0,0,0,0,0,2,0
1980,Female,Other,20 to 29,Kings County,1,1,0,0,0,2,4,0
1980,Female,Other,30 to 39,Kings County,0,0,0,0,0,0,2,0
1980,Female,Other,40 to 69,Kings County,0,0,0,0,0,0,1,0
1980,Female,White,Under 18,Kings County,4,18,2,0,1,25,64,43
1980,Female,White,18 to 19,Kings County,3,6,1,0,1,11,43,0
1980,Female,White,20 to 29,Kings County,6,12,3,1,3,25,106,0
1980,Female,White,30 to 39,Kings County,3,4,1,0,1,9,69,0
1980,Female,White,40 to 69,Kings County,1,2,0,0,0,3,41,0
1980,Male,Black,Under 18,Lake County,0,0,0,0,0,0,2,0
1980,Male,Black,20 to 29,Lake County,0,0,0,0,0,0,1,0
1980,Male,Black,30 to 39,Lake County,0,0,0,0,0,0,4,0
1980,Male,Black,40 to 69,Lake County,1,1,0,0,0,2,7,0
1980,Male,Black,70 and over,Lake County,0,0,0,0,0,0,1,0
1980,Male,Hispanic,Under 18,Lake County,1,2,0,0,0,3,4,4
1980,Male,Hispanic,18 to 19,Lake County,0,1,0,0,1,2,5,0
1980,Male,Hispanic,20 to 29,Lake County,9,4,0,0,7,20,78,0
1980,Male,Hispanic,30 to 39,Lake County,0,0,0,0,0,0,36,0
1980,Male,Hispanic,40 to 69,Lake County,0,1,0,0,0,1,27,0
1980,Male,Other,Under 18,Lake County,0,1,0,0,1,2,2,0
1980,Male,Other,18 to 19,Lake County,0,1,0,0,0,1,1,0
1980,Male,Other,20 to 29,Lake County,0,1,0,0,0,1,12,0
1980,Male,Other,30 to 39,Lake County,0,1,0,0,0,1,13,0
1980,Male,Other,40 to 69,Lake County,0,0,0,0,0,0,10,0
1980,Male,White,Under 18,Lake County,5,29,4,0,4,42,90,15
